Elevation,Area,CumArea
613,3.0,0.00
614,5.0,0.01
615,13.0,0.02
616,24.0,0.04
617,57.0156862745,0.09
618,60.0,0.15
619,98.7764705882,0.23
620,133.219607843,0.35
621,180.450980392,0.52
622,230.384313725,0.72
623,313.717647059,1.01
624,369.494117647,1.34
625,452.509803922,1.75
626,526.647058824,2.22
627,1243.63529412,3.34
628,1153.04313725,4.38
629,24433.3176471,26.37
630,4723.85490196,30.62
631,7263.05490196,37.16
632,9113.88627451,45.36
633,7575.06666667,52.18
634,4889.34117647,56.58
635,3787.55686275,59.98
636,3292.05882353,62.95
637,3086.09803922,65.73
638,3028.20392157,68.45
639,2874.70196078,71.04
640,2770.22745098,73.53
641,2849.51764706,76.10
642,2908.1372549,78.71
643,2756.88627451,81.19
644,2716.2745098,83.64
645,2409.79607843,85.81
646,2213.14509804,87.80
647,2205.8745098,89.78
648,2126.4627451,91.70
649,2049.14509804,93.54
650,1820.21176471,95.18
651,1688.15294118,96.70
652,1624.05882353,98.16
653,1644.85098039,99.64
654,1569.04705882,101.05
655,1496.36862745,102.40
656,1456.06666667,103.71
657,1451.82352941,105.02
658,1341.7372549,106.23
659,1314.2627451,107.41
660,1195.5254902,108.48
661,1053.60784314,109.43
662,941.709803922,110.28
663,859.850980392,111.05
664,791.164705882,111.77
665,679.17254902,112.38
666,618.82745098,112.93
667,587.333333333,113.46
668,555.97254902,113.96
669,499.749019608,114.41
670,496.6,114.86
671,476.698039216,115.29
672,430.411764706,115.68
673,453.650980392,116.09
674,412.352941176,116.46
675,444.670588235,116.86
676,445.368627451,117.26
677,373.137254902,117.59
678,386.474509804,117.94
679,327.88627451,118.24
680,329.058823529,118.53
681,290.368627451,118.79
682,271.568627451,119.04
683,227.290196078,119.24
684,230.407843137,119.45
685,168.364705882,119.60
686,193.090196078,119.78
687,171.019607843,119.93
688,149.996078431,120.06
689,123.066666667,120.17
690,116.278431373,120.28
691,91.6705882353,120.36
692,113.635294118,120.46
693,122.498039216,120.57
694,103.91372549,120.67
695,89.9803921569,120.75
696,86.1019607843,120.83
697,69.0705882353,120.89
698,76.8352941176,120.96
699,72.4823529412,121.02
700,95.2941176471,121.11
701,76.8352941176,121.18
702,65.6509803922,121.24
703,63.2980392157,121.29
704,37.2784313725,121.33
705,34.9215686275,121.36
706,14.0,121.37
707,7.0,121.38
708,4.0,121.38
709,0.654901960784,121.38
