Elevation,CumArea
1362.0,0.39
1363.0,0.99
1364.0,1.58
1365,2.18
1366,2.63
1367,3.07
1368,3.61
1369,4.22
1370,4.96
1371,5.65
1372,6.31
1373,6.94
1374,7.41
1375,7.77
1376,8.05
1377,8.23
1378,8.38
1379,8.48
1380,8.58
1381,8.67
1382,8.75
1383,8.84
1384,8.91
1385,8.96
1386,9.00
1387,9.04
1388,9.07
1389,9.10
1390,9.14
1391,9.16
1392,9.19
1393,9.21
1394,9.24
1395,9.26
1396,9.28
1397,9.30
1399,9.33
1400,9.34
1402,9.37
1405,9.41
1406,9.43
1408,9.45
1409,9.47
1411,9.50
1414,9.54
1415,9.56
1418,9.60
1428,9.67
