Date,Streamflow
2013-05-05,27.89
2013-05-21,0.00
2013-06-06,0.00
2013-06-22,0.00
2013-07-08,0.00
2013-07-24,203.76
2013-08-25,71.77
2013-09-10,317.71
2013-09-26,1.53
2013-10-12,61.56
2013-11-13,26.51
2013-12-15,60.26
2013-12-31,49.08
2014-02-17,31.71
2014-03-21,34.74
2014-04-06,0.00
2014-05-08,7.35
2014-05-24,0.00
2014-06-09,0.00
2014-06-25,0.00
2014-07-11,0.00
2014-07-27,69.17
2014-08-12,278.74
2014-09-13,94.28
2014-11-16,50.91
2014-12-02,70.31
2015-01-03,32.04
2015-01-19,56.92
2015-02-04,72.76
2015-02-20,0.00
2015-03-08,27.61
2015-04-09,50.58
2015-05-27,0.00
2015-06-12,0.00
2015-06-28,0.00
2015-07-30,0.00
2015-08-31,206.38
2015-10-18,147.18
2015-11-03,0.00
2015-11-19,13.95
2015-12-05,23.24
2016-01-06,11.18
2016-02-07,40.43
2016-03-10,33.64
2016-04-11,20.18
2016-04-27,0.00
2016-05-29,8.15
2016-07-16,0.00
2016-09-02,0.00
2016-10-04,224.77
2016-12-07,29.97
2017-01-08,35.20
2017-02-09,32.16
2017-02-25,56.97
2017-03-29,12.54
2017-04-30,14.87
2017-06-01,0.00
2017-06-17,0.00
2017-07-03,0.00
2017-07-19,0.00
2017-08-04,216.27
2017-08-20,422.41
2017-09-05,2.11
2017-09-21,50.91
2017-11-08,25.44
2017-12-26,52.14
2018-02-28,57.19
2018-05-19,37.81
2018-06-04,0.00
2018-06-20,0.00
2018-07-06,0.00
2018-07-22,29.91
2018-08-07,200.38
2018-08-23,256.66
2018-09-08,89.19
2018-10-10,31.51
2018-10-26,38.16
2018-11-11,11.74
2018-12-13,21.97
2019-01-14,33.46
2019-03-03,29.65
2019-03-19,39.91
2019-05-22,35.77
2019-06-23,0.00
2019-07-09,0.00
2019-07-25,59.22
2019-08-26,95.16
2019-09-11,277.08
2019-09-27,26.45
