Date,NDWI
2013-04-02,12.80
2013-04-28,13.16
2013-05-23,13.64
2013-07-26,13.00
2013-08-11,12.57
2014-03-30,13.59
2014-05-26,13.05
2014-06-11,12.60
2014-07-13,11.24
2014-07-29,10.40
2014-09-22,7.38
2015-02-13,11.85
2015-05-29,12.94
2015-06-30,11.96
2015-07-16,11.24
2015-08-01,9.90
2015-10-04,6.93
2016-01-24,6.79
2016-04-29,12.61
2016-05-15,12.21
2016-05-31,11.17
2016-06-16,11.28
2016-06-23,10.88
2016-07-02,11.01
2016-07-18,10.37
2016-08-03,9.25
2017-06-03,13.38
2017-07-05,12.66
2017-07-12,12.37
2017-07-21,10.67
2017-08-06,10.58
2017-08-22,10.83
2018-04-10,13.39
2018-05-05,8.01
2018-06-22,12.78
2018-07-24,12.03
2018-10-28,7.39
2019-01-23,11.97
2019-04-22,13.69
2019-05-24,13.14
2019-06-09,12.82
2019-06-25,12.49
2019-07-11,11.90
2019-08-03,10.91
2019-08-12,10.44
2019-08-28,9.53
