Elevation,CumArea
87.0,0.43
88.0,2.01
89.0,3.60
90.0,5.18
91.0,6.76
92.0,8.34
93.0,9.92
94.0,11.50
95,13.08
96,14.24
97,15.78
98,17.44
99,19.24
100,21.00
101,22.78
102,24.64
103,26.31
104,27.57
105,28.61
106,29.64
107,30.87
108,32.63
109,35.10
110,38.01
111,41.03
112,43.84
113,46.25
114,48.48
115,50.62
116,52.68
117,54.73
118,56.72
119,58.75
120,60.71
121,62.41
122,63.99
123,65.61
124,67.26
125,68.94
126,70.47
127,72.01
128,73.52
129,75.03
130,76.45
131,77.81
132,79.09
133,80.27
134,81.51
135,82.67
136,83.82
137,84.95
138,86.06
139,87.16
140,88.18
141,89.09
142,89.96
143,90.76
144,91.55
145,92.33
146,93.03
147,93.73
148,94.39
149,95.06
150,95.68
151,96.26
152,96.82
153,97.38
154,97.90
155,98.42
156,98.91
157,99.38
158,99.78
159,100.22
160,100.64
161,101.02
162,101.38
163,101.73
164,102.06
165,102.39
166,102.68
167,102.97
168,103.26
169,103.58
170,103.86
171,104.13
172,104.40
173,104.64
174,104.93
175,105.18
176,105.41
177,105.65
178,105.87
179,106.10
180,106.35
181,106.55
182,106.75
183,106.95
184,107.14
185,107.35
186,107.53
187,107.72
188,107.89
189,108.08
190,108.25
191,108.40
192,108.58
193,108.75
194,108.92
195,109.09
196,109.24
197,109.41
198,109.59
199,109.79
200,109.97
201,110.18
202,110.38
203,110.57
204,110.74
205,110.93
206,111.09
207,111.26
208,111.41
209,111.57
210,111.71
211,111.87
212,112.04
213,112.18
214,112.33
215,112.49
216,112.66
217,112.82
218,112.97
219,113.13
220,113.28
221,113.46
222,113.62
223,113.79
224,113.98
225,114.16
226,114.39
227,114.64
228,114.89
229,115.15
230,115.38
231,115.62
232,115.86
233,116.08
234,116.31
235,116.55
236,116.78
237,117.05
238,117.30
239,117.52
240,117.76
241,118.04
242,118.33
243,118.62
244,118.89
245,119.17
246,119.46
247,119.73
248,119.98
249,120.24
250,120.52
251,120.79
252,121.06
253,121.33
254,121.58
255,121.81
256,122.05
257,122.28
258,122.52
259,122.72
260,122.91
261,123.14
262,123.36
263,123.58
264,123.74
265,123.92
266,124.09
267,124.23
268,124.38
269,124.52
270,124.68
271,124.82
272,124.96
273,125.11
274,125.25
275,125.39
276,125.53
277,125.66
278,125.78
279,125.92
280,126.04
281,126.16
282,126.28
283,126.38
284,126.48
285,126.58
286,126.68
287,126.76
288,126.85
289,126.94
290,127.03
291,127.12
292,127.19
293,127.25
294,127.32
295,127.40
296,127.48
297,127.55
298,127.61
299,127.67
300,127.74
301,127.80
302,127.85
303,127.91
304,127.98
305,128.03
306,128.09
307,128.15
308,128.21
309,128.26
310,128.31
311,128.35
312,128.39
313,128.42
314,128.47
315,128.51
316,128.56
317,128.61
318,128.65
319,128.68
320,128.70
321,128.72
322,128.74
323,128.76
325,128.79
326,128.81
327,128.83
328,128.85
