Date,Streamflow
2013-04-26,5.08
2013-05-28,1.33
2013-06-13,0.79
2013-07-15,0.37
2013-07-31,0.30
2013-08-16,0.34
2013-09-01,0.32
2013-09-17,0.38
2013-11-04,1.96
2013-12-22,9.67
2014-05-15,10.45
2014-05-31,0.00
2014-06-16,0.27
2014-07-02,0.48
2014-07-18,0.23
2014-08-03,0.19
2014-09-04,0.27
2014-09-20,0.49
2014-10-06,0.51
2014-10-22,0.48
2014-11-07,2.58
2015-01-10,8.97
2015-03-15,6.11
2015-04-16,6.81
2015-05-02,3.85
2015-05-18,0.90
2015-06-19,0.61
2015-07-05,0.48
2015-07-21,0.56
2015-08-06,0.54
2015-08-22,0.45
2015-09-07,1.49
2015-09-23,3.27
2015-10-09,1.76
2015-10-25,2.34
2015-11-10,1.49
2015-11-26,4.51
2016-03-01,7.95
2016-04-02,7.16
2016-04-18,1.35
2016-05-04,1.92
2016-05-20,1.39
2016-06-05,2.01
2016-06-21,1.95
2016-07-07,1.23
2016-07-23,0.60
2016-08-08,0.85
2016-08-24,0.67
2016-09-09,0.49
2016-09-25,0.47
2016-10-11,0.42
2016-10-27,3.96
2016-11-28,6.07
2017-02-16,17.41
2017-03-20,13.48
2017-04-05,0.00
2017-04-21,5.00
2017-05-07,2.52
2017-05-23,1.04
2017-06-08,0.66
2017-07-10,0.49
2017-07-26,0.15
2017-08-11,0.21
2017-09-12,0.14
2017-10-14,4.53
2017-10-30,1.10
2017-12-01,2.72
2017-12-17,9.46
2018-01-02,3.64
2018-01-18,2.07
2018-02-03,19.18
2018-04-08,8.62
2018-04-24,7.09
2018-05-10,1.44
2018-05-26,1.25
2018-06-11,0.73
2018-06-27,0.48
2018-07-29,0.29
2018-08-30,0.24
2018-09-15,0.35
2018-10-01,0.33
2018-10-17,2.11
2018-11-02,1.92
2018-11-18,2.22
2018-12-04,2.05
2018-12-20,5.11
2019-01-21,13.08
2019-03-10,8.08
2019-03-26,3.12
2019-04-27,8.95
2019-05-13,1.62
2019-05-29,0.71
2019-06-14,0.54
2019-06-30,0.59
2019-07-16,0.47
2019-08-01,0.36
2019-08-17,0.26
2019-09-02,0.20
2019-09-18,0.11
