Date,Rarea,NDWI,MNDWI
2000-01-02,135.118047885,129.969390958,32.6033684463
2000-01-11,123.022186174,110.374650215,74.8219455947
2000-01-18,135.118047885,93.134152584,58.9105404051
2000-01-27,121.268421979,115.081867057,79.4405304833
2000-02-03,135.118047885,89.1393953932,46.8820868166
2000-04-23,135.118047885,92.5608530817,95.6326144869
2000-05-09,135.118047885,49.3757761003,47.073711833
2000-05-25,135.118047885,75.8176705162,65.2877863964
2000-07-12,135.118047885,125.650210239,67.728992586
2000-08-13,135.118047885,131.00356059,69.5979683665
2000-08-22,130.334837234,127.480130261,43.5417560744
2000-09-30,135.118047885,131.88369104,18.5972004641
2000-10-09,135.118047885,132.128768709,16.540396829
2000-10-25,123.226020994,120.404785762,16.2875427
2000-11-01,135.118047885,134.582794302,16.6234810626
2000-11-17,135.118047885,132.928894637,21.9882141514
2000-12-03,135.118047885,132.611325271,16.1586131242
2000-12-19,135.118047885,134.512933831,32.3802695308
2000-12-28,125.228903535,123.264091318,15.8748443005
2001-01-20,135.118047885,108.11917195,21.0927982193
2001-01-29,135.118047885,128.947077031,61.7072474818
2001-02-05,135.118047885,104.74612713,25.7075632144
2001-02-14,133.543558939,104.948542629,36.9065541197
2001-02-21,135.118047885,134.577793129,127.313047054
2001-03-18,116.456642202,76.331016047,49.8984569714
2001-03-25,135.118047885,135.118047885,135.118047885
2001-04-26,135.118047885,70.5672875416,60.2392377152
2001-05-05,135.118047885,77.3429207465,72.6325911131
2001-05-12,135.118047885,66.4577027848,65.4810903485
2001-05-21,135.11727304,91.7954606265,80.4881668658
2001-05-28,135.118047885,66.0155851322,50.2777623003
2001-06-06,127.429771708,42.1095406822,29.0408488745
2001-06-13,135.118047885,88.8159678198,43.5845004679
2001-06-29,135.118047885,111.533782508,51.1246008312
2001-07-08,135.110358273,134.797708807,60.7505305042
2001-07-15,135.118047885,118.114435133,25.279495323
2001-07-24,135.118047885,130.458342298,55.9380990288
2001-07-31,135.118047885,120.164135741,19.9865669808
2001-08-16,135.118047885,125.113049957,17.1304259114
2001-08-25,125.272687312,122.844653265,65.3680634451
2001-09-01,135.118047885,124.805097769,16.4699703041
2001-09-10,129.177467956,127.150325507,33.9012038439
2001-09-17,135.118047885,133.328860298,32.1424473454
2001-09-26,135.118047885,130.295604522,14.8203626694
2001-10-03,135.118047885,127.759227928,18.1456218292
2001-10-12,128.05519278,124.143901062,23.0659419894
2001-10-19,135.118047885,130.036693795,15.9123669048
2001-10-28,128.501397724,124.797414313,46.5235349489
2001-11-04,135.118047885,134.143766562,17.2650923248
2001-11-13,135.088083892,133.994066212,53.7890750824
2001-11-20,135.118047885,130.448169608,72.335577422
2001-11-29,130.681733691,130.55917499,38.5468957075
2001-12-06,135.118047885,132.660470437,37.4011253397
2001-12-22,135.118047885,130.921852785,42.4654034526
2002-01-23,135.118047885,71.7613463823,58.1060720023
2002-02-08,135.118047885,48.5949471915,34.9826675664
2002-02-17,128.559207693,103.129814329,86.091548093
2002-02-24,135.118047885,62.4778117005,33.3388782249
2002-03-12,135.118047885,122.634477589,117.507061001
2002-03-28,135.118047885,118.25088254,97.553254032
2002-04-22,126.422653395,54.0473177385,45.0825245506
2002-04-29,135.118047885,61.6415727508,84.4732385222
2002-05-08,135.118047885,19.5816870935,18.6114220942
2002-05-15,135.118047885,96.1257187805,73.9655350636
2002-05-31,135.118047885,129.285902818,114.977734586
2002-06-09,132.868166989,105.085057947,64.8025495003
2002-06-25,125.130124746,109.797896071,31.7297546891
2002-07-02,135.118047885,115.474965659,21.3848509251
2002-07-11,135.065407392,133.082113641,70.2430752783
2002-08-03,135.118047885,132.491361079,16.4103338939
2002-08-12,135.102197873,131.952030843,123.158420169
2002-08-19,135.118047885,133.283451929,30.2900675641
2002-08-28,121.717287239,120.569805031,20.0759644136
2002-09-13,134.141309429,133.025793244,21.7338321985
2002-09-20,135.118047885,133.46376002,22.7285302819
2002-09-29,135.11727304,133.233121538,17.5513718238
2002-10-06,135.118047885,134.51448064,31.9146457885
2002-10-15,135.118047885,120.179518917,53.4196826532
2002-10-22,135.118047885,133.486870213,15.8784716897
2002-10-31,121.305467895,120.086355823,14.7849860204
2002-11-07,135.118047885,129.909665713,53.6446998854
2002-12-18,119.377447759,118.770567308,15.9802077782
2003-01-10,135.118047885,132.616824023,24.0841265425
2003-01-19,115.51864613,114.226684452,34.2395925321
2003-01-26,135.118047885,132.626916594,91.9335061701
2003-02-04,128.651649926,112.671994286,57.0219459236
2003-02-11,135.118047885,134.864187265,130.183981411
2003-02-27,135.118047885,113.525341644,118.171975896
2003-03-08,132.564348349,130.945352747,120.80438545
2003-03-15,135.118047885,99.8043790539,92.9053205324
2003-03-31,135.118047885,77.7718936637,74.0452269504
2003-04-16,135.118047885,34.4421443855,32.2804383651
2003-04-25,125.278337019,62.8959431709,62.6731254635
2003-05-11,130.080981103,30.5300494094,30.2742980059
2003-05-18,135.118047885,23.3410809218,22.4144606553
2003-05-27,129.82145558,76.2399842667,66.7219002083
